Country,ISO Code,Year,Clean Energy (%)
Bosnia Herzegovina,BIH,2018,34.35
Bosnia Herzegovina,BIH,2019,36.68
Bosnia Herzegovina,BIH,2020,29.18
Bosnia Herzegovina,BIH,2021,39.0
Bosnia Herzegovina,BIH,2022,32.05
Bosnia Herzegovina,BIH,2023,39.18
Bosnia Herzegovina,BIH,2024,36.48
Bulgaria,BGR,1990,38.88
Bulgaria,BGR,1991,37.97
Bulgaria,BGR,1992,37.95
Bulgaria,BGR,1993,41.65
Bulgaria,BGR,1994,43.81
Bulgaria,BGR,1995,46.65
Bulgaria,BGR,1996,49.13
Bulgaria,BGR,1997,48.07
Bulgaria,BGR,1998,48.21
Bulgaria,BGR,1999,48.88
Bulgaria,BGR,2000,51.27
Bulgaria,BGR,2001,48.8
Bulgaria,BGR,2002,53.09
Bulgaria,BGR,2003,47.94
Bulgaria,BGR,2004,48.26
Bulgaria,BGR,2005,52.29
Bulgaria,BGR,2006,52.2
Bulgaria,BGR,2007,40.92
Bulgaria,BGR,2008,42.03
Bulgaria,BGR,2009,44.76
Bulgaria,BGR,2010,45.74
Bulgaria,BGR,2011,40.43
Bulgaria,BGR,2012,45.26
Bulgaria,BGR,2013,49.0
Bulgaria,BGR,2014,49.57
Bulgaria,BGR,2015,49.54
Bulgaria,BGR,2016,51.25
Bulgaria,BGR,2017,48.35
Bulgaria,BGR,2018,54.85
Bulgaria,BGR,2019,55.01
Bulgaria,BGR,2020,60.04
Bulgaria,BGR,2021,56.76
Bulgaria,BGR,2022,51.89
Bulgaria,BGR,2023,65.42
Bulgaria,BGR,2024,71.15
Croatia,HRV,1990,44.61
Croatia,HRV,1991,64.57
Croatia,HRV,1992,48.99
Croatia,HRV,1993,47.9
Croatia,HRV,1994,62.24
Croatia,HRV,1995,61.58
Croatia,HRV,1996,70.65
Croatia,HRV,1997,57.3
Croatia,HRV,1998,52.71
Croatia,HRV,1999,56.64
Croatia,HRV,2000,57.54
Croatia,HRV,2001,56.31
Croatia,HRV,2002,46.1
Croatia,HRV,2003,41.49
Croatia,HRV,2004,55.01
Croatia,HRV,2005,54.1
Croatia,HRV,2006,51.51
Croatia,HRV,2007,37.8
Croatia,HRV,2008,45.7
Croatia,HRV,2009,56.03
Croatia,HRV,2010,62.88
Croatia,HRV,2011,47.02
Croatia,HRV,2012,49.76
Croatia,HRV,2013,66.57
Croatia,HRV,2014,74.01
Croatia,HRV,2015,66.9
Croatia,HRV,2016,66.35
Croatia,HRV,2017,60.49
Croatia,HRV,2018,72.34
Croatia,HRV,2019,66.01
Croatia,HRV,2020,64.63
Croatia,HRV,2021,69.69
Croatia,HRV,2022,63.48
Croatia,HRV,2023,69.76
Croatia,HRV,2024,73.15
Cyprus,CYP,1990,0.0
Cyprus,CYP,1991,0.0
Cyprus,CYP,1992,0.0
Cyprus,CYP,1993,0.0
Cyprus,CYP,1994,0.0
Cyprus,CYP,1995,0.0
Cyprus,CYP,1996,0.0
Cyprus,CYP,1997,0.0
Cyprus,CYP,1998,0.0
Cyprus,CYP,1999,0.0
Cyprus,CYP,2000,0.0
Cyprus,CYP,2001,0.0
Cyprus,CYP,2002,0.0
Cyprus,CYP,2003,0.0
Cyprus,CYP,2004,0.0
Cyprus,CYP,2005,0.0
Cyprus,CYP,2006,0.0
Cyprus,CYP,2007,0.0
Cyprus,CYP,2008,0.2
Cyprus,CYP,2009,0.58
Cyprus,CYP,2010,1.5
Cyprus,CYP,2011,3.46
Cyprus,CYP,2012,5.51
Cyprus,CYP,2013,7.69
Cyprus,CYP,2014,7.14
Cyprus,CYP,2015,8.81
Cyprus,CYP,2016,8.79
Cyprus,CYP,2017,8.6
Cyprus,CYP,2018,9.49
Cyprus,CYP,2019,10.1
Cyprus,CYP,2020,12.37
Cyprus,CYP,2021,15.23
Cyprus,CYP,2022,16.73
Cyprus,CYP,2023,20.15
Cyprus,CYP,2024,4.4
Czechia,CZE,1990,22.08
Czechia,CZE,1991,21.92
Czechia,CZE,1992,23.12
Czechia,CZE,1993,24.13
Czechia,CZE,1994,25.27
Czechia,CZE,1995,24.17
Czechia,CZE,1996,23.67
Czechia,CZE,1997,22.86
Czechia,CZE,1998,23.48
Czechia,CZE,1999,24.5
Czechia,CZE,2000,21.77
Czechia,CZE,2001,23.34
Czechia,CZE,2002,28.59
Czechia,CZE,2003,33.51
Czechia,CZE,2004,34.69
Czechia,CZE,2005,34.0
Czechia,CZE,2006,35.35
Czechia,CZE,2007,33.71
Czechia,CZE,2008,36.35
Czechia,CZE,2009,39.04
Czechia,CZE,2010,39.79
Czechia,CZE,2011,41.0
Czechia,CZE,2012,44.34
Czechia,CZE,2013,46.62
Czechia,CZE,2014,46.48
Czechia,CZE,2015,43.94
Czechia,CZE,2016,40.84
Czechia,CZE,2017,44.27
Czechia,CZE,2018,45.31
Czechia,CZE,2019,47.03
Czechia,CZE,2020,50.41
Czechia,CZE,2021,49.45
Czechia,CZE,2022,49.91
Czechia,CZE,2023,54.82
Czechia,CZE,2024,57.69
Denmark,DNK,1990,3.2
Denmark,DNK,1991,2.91
Denmark,DNK,1992,4.44
Denmark,DNK,1993,4.77
Denmark,DNK,1994,4.31
Denmark,DNK,1995,5.08
Denmark,DNK,1996,3.9
Denmark,DNK,1997,6.64
Denmark,DNK,1998,9.6
Denmark,DNK,1999,11.31
Denmark,DNK,2000,15.54
Denmark,DNK,2001,15.58
Denmark,DNK,2002,17.37
Denmark,DNK,2003,17.55
Denmark,DNK,2004,23.68
Denmark,DNK,2005,27.16
Denmark,DNK,2006,20.22
Denmark,DNK,2007,26.32
Denmark,DNK,2008,27.69
Denmark,DNK,2009,27.78
Denmark,DNK,2010,32.08
Denmark,DNK,2011,40.36
Denmark,DNK,2012,48.54
Denmark,DNK,2013,46.11
Denmark,DNK,2014,56.15
Denmark,DNK,2015,65.77
Denmark,DNK,2016,60.49
Denmark,DNK,2017,70.55
Denmark,DNK,2018,68.69
Denmark,DNK,2019,78.55
Denmark,DNK,2020,82.05
Denmark,DNK,2021,79.28
Denmark,DNK,2022,80.86
Denmark,DNK,2023,86.45
Denmark,DNK,2024,89.23
Estonia,EST,1990,0.0
Estonia,EST,1991,0.0
Estonia,EST,1992,0.0
Estonia,EST,1993,0.0
Estonia,EST,1994,0.0
Estonia,EST,1995,0.12
Estonia,EST,1996,0.0
Estonia,EST,1997,0.11
Estonia,EST,1998,0.12
Estonia,EST,1999,0.12
Estonia,EST,2000,0.12
Estonia,EST,2001,0.24
Estonia,EST,2002,0.35
Estonia,EST,2003,0.49
Estonia,EST,2004,0.58
Estonia,EST,2005,1.08
Estonia,EST,2006,1.34
Estonia,EST,2007,1.15
Estonia,EST,2008,1.89
Estonia,EST,2009,6.15
Estonia,EST,2010,8.1
Estonia,EST,2011,9.15
Estonia,EST,2012,12.29
Estonia,EST,2013,9.26
Estonia,EST,2014,11.16
Estonia,EST,2015,15.37
Estonia,EST,2016,13.06
Estonia,EST,2017,14.13
Estonia,EST,2018,16.09
Estonia,EST,2019,28.12
Estonia,EST,2020,48.85
Estonia,EST,2021,39.92
Estonia,EST,2022,31.99
Estonia,EST,2023,49.74
Estonia,EST,2024,55.65
EU,,1990,45.83
EU,,1991,46.36
EU,,1992,47.33
EU,,1993,48.75
EU,,1994,48.43
EU,,1995,48.03
EU,,1996,48.11
EU,,1997,48.64
EU,,1998,48.16
EU,,1999,48.34
EU,,2000,48.31
EU,,2001,49.1
EU,,2002,47.48
EU,,2003,46.59
EU,,2004,47.73
EU,,2005,47.13
EU,,2006,47.12
EU,,2007,46.42
EU,,2008,48.16
EU,,2009,49.71
EU,,2010,51.17
EU,,2011,51.01
EU,,2012,53.07
EU,,2013,55.94
EU,,2014,58.42
EU,,2015,57.23
EU,,2016,56.69
EU,,2017,55.89
EU,,2018,58.56
EU,,2019,60.68
EU,,2020,63.32
EU,,2021,62.9
EU,,2022,60.81
EU,,2023,68.03
EU,,2024,71.36
Finland,FIN,1990,64.83
Finland,FIN,1991,65.06
Finland,FIN,1992,68.15
Finland,FIN,1993,64.48
Finland,FIN,1994,57.45
Finland,FIN,1995,60.58
Finland,FIN,1996,53.73
Finland,FIN,1997,59.38
Finland,FIN,1998,65.97
Finland,FIN,1999,63.61
Finland,FIN,2000,65.54
Finland,FIN,2001,59.52
Finland,FIN,2002,56.23
Finland,FIN,2003,49.58
Finland,FIN,2004,56.33
Finland,FIN,2005,66.23
Finland,FIN,2006,55.13
Finland,FIN,2007,58.81
Finland,FIN,2008,65.59
Finland,FIN,2009,62.77
Finland,FIN,2010,58.26
Finland,FIN,2011,64.45
Finland,FIN,2012,73.21
Finland,FIN,2013,69.1
Finland,FIN,2014,73.22
Finland,FIN,2015,78.39
Finland,FIN,2016,77.98
Finland,FIN,2017,79.9
Finland,FIN,2018,78.21
Finland,FIN,2019,81.26
Finland,FIN,2020,85.53
Finland,FIN,2021,85.67
Finland,FIN,2022,88.68
Finland,FIN,2023,93.95
Finland,FIN,2024,95.33
France,FRA,1990,88.62
France,FRA,1991,86.55
France,FRA,1992,88.99
France,FRA,1993,92.61
France,FRA,1994,92.88
France,FRA,1995,92.13
France,FRA,1996,91.46
France,FRA,1997,92.18
France,FRA,1998,89.23
France,FRA,1999,90.07
France,FRA,2000,90.69
France,FRA,2001,91.63
France,FRA,2002,90.6
France,FRA,2003,89.88
France,FRA,2004,90.17
France,FRA,2005,89.0
France,FRA,2006,90.09
France,FRA,2007,89.71
France,FRA,2008,90.26
France,FRA,2009,90.36
France,FRA,2010,89.84
France,FRA,2011,89.56
France,FRA,2012,89.97
France,FRA,2013,90.7
France,FRA,2014,93.68
France,FRA,2015,92.18
France,FRA,2016,89.86
France,FRA,2017,88.22
France,FRA,2018,91.42
France,FRA,2019,90.52
France,FRA,2020,90.82
France,FRA,2021,91.12
France,FRA,2022,87.11
France,FRA,2023,92.06
France,FRA,2024,94.88
Germany,DEU,1990,31.64
Germany,DEU,1991,30.64
Germany,DEU,1992,33.45
Germany,DEU,1993,33.38
Germany,DEU,1994,33.42
Germany,DEU,1995,33.73
Germany,DEU,1996,34.03
Germany,DEU,1997,35.39
Germany,DEU,1998,33.96
Germany,DEU,1999,36.18
Germany,DEU,2000,36.03
Germany,DEU,2001,36.13
Germany,DEU,2002,35.86
Germany,DEU,2003,35.17
Germany,DEU,2004,36.92
Germany,DEU,2005,36.93
Germany,DEU,2006,38.06
Germany,DEU,2007,36.44
Germany,DEU,2008,38.41
Germany,DEU,2009,39.29
Germany,DEU,2010,39.41
Germany,DEU,2011,38.41
Germany,DEU,2012,39.18
Germany,DEU,2013,39.58
Germany,DEU,2014,41.87
Germany,DEU,2015,43.8
Germany,DEU,2016,42.67
Germany,DEU,2017,45.31
Germany,DEU,2018,47.28
Germany,DEU,2019,52.7
Germany,DEU,2020,55.73
Germany,DEU,2021,52.11
Germany,DEU,2022,50.5
Germany,DEU,2023,55.85
Germany,DEU,2024,58.39
Greece,GRC,1990,5.18
Greece,GRC,1991,8.81
Greece,GRC,1992,6.01
Greece,GRC,1993,6.18
Greece,GRC,1994,6.6
Greece,GRC,1995,8.7
Greece,GRC,1996,10.41
Greece,GRC,1997,9.16
Greece,GRC,1998,8.29
Greece,GRC,1999,9.72
Greece,GRC,2000,7.82
Greece,GRC,2001,5.6
Greece,GRC,2002,6.71
Greece,GRC,2003,10.28
Greece,GRC,2004,10.15
Greece,GRC,2005,10.91
Greece,GRC,2006,12.91
Greece,GRC,2007,7.36
Greece,GRC,2008,9.25
Greece,GRC,2009,13.52
Greece,GRC,2010,18.6
Greece,GRC,2011,13.94
Greece,GRC,2012,16.91
Greece,GRC,2013,25.47
Greece,GRC,2014,24.55
Greece,GRC,2015,29.09
Greece,GRC,2016,27.66
Greece,GRC,2017,25.18
Greece,GRC,2018,30.68
Greece,GRC,2019,33.58
Greece,GRC,2020,36.94
Greece,GRC,2021,40.8
Greece,GRC,2022,43.45
Greece,GRC,2023,49.72
Greece,GRC,2024,49.14
Hungary,HUN,1990,48.98
Hungary,HUN,1991,46.53
Hungary,HUN,1992,44.73
Hungary,HUN,1993,42.57
Hungary,HUN,1994,42.54
Hungary,HUN,1995,41.89
Hungary,HUN,1996,41.15
Hungary,HUN,1997,40.23
Hungary,HUN,1998,38.09
Hungary,HUN,1999,37.91
Hungary,HUN,2000,40.98
Hungary,HUN,2001,39.51
Hungary,HUN,2002,39.23
Hungary,HUN,2003,33.23
Hungary,HUN,2004,38.12
Hungary,HUN,2005,43.92
Hungary,HUN,2006,41.7
Hungary,HUN,2007,41.44
Hungary,HUN,2008,42.9
Hungary,HUN,2009,51.02
Hungary,HUN,2010,50.27
Hungary,HUN,2011,51.08
Hungary,HUN,2012,53.24
Hungary,HUN,2013,59.96
Hungary,HUN,2014,64.0
Hungary,HUN,2015,62.81
Hungary,HUN,2016,60.54
Hungary,HUN,2017,59.48
Hungary,HUN,2018,60.84
Hungary,HUN,2019,61.23
Hungary,HUN,2020,61.8
Hungary,HUN,2021,63.43
Hungary,HUN,2022,65.6
Hungary,HUN,2023,71.17
Hungary,HUN,2024,73.62
Ireland,IRL,1990,4.93
Ireland,IRL,1991,5.03
Ireland,IRL,1992,5.27
Ireland,IRL,1993,4.84
Ireland,IRL,1994,5.6
Ireland,IRL,1995,4.15
Ireland,IRL,1996,4.03
Ireland,IRL,1997,4.12
Ireland,IRL,1998,5.66
Ireland,IRL,1999,5.2
Ireland,IRL,2000,5.0
Ireland,IRL,2001,4.19
Ireland,IRL,2002,5.56
Ireland,IRL,2003,4.59
Ireland,IRL,2004,5.52
Ireland,IRL,2005,7.31
Ireland,IRL,2006,9.12
Ireland,IRL,2007,9.92
Ireland,IRL,2008,12.04
Ireland,IRL,2009,14.75
Ireland,IRL,2010,13.23
Ireland,IRL,2011,20.01
Ireland,IRL,2012,19.38
Ireland,IRL,2013,22.04
Ireland,IRL,2014,24.79
Ireland,IRL,2015,28.02
Ireland,IRL,2016,24.87
Ireland,IRL,2017,28.96
Ireland,IRL,2018,33.01
Ireland,IRL,2019,38.39
Ireland,IRL,2020,42.1
Ireland,IRL,2021,36.73
Ireland,IRL,2022,38.89
Ireland,IRL,2023,44.82
Ireland,IRL,2024,46.03
Italy,ITA,1990,16.37
Italy,ITA,1991,20.84
Italy,ITA,1992,20.55
Italy,ITA,1993,20.58
Italy,ITA,1994,21.09
Italy,ITA,1995,17.47
Italy,ITA,1996,19.31
Italy,ITA,1997,18.74
Italy,ITA,1998,18.32
Italy,ITA,1999,19.8
Italy,ITA,2000,18.84
Italy,ITA,2001,19.99
Italy,ITA,2002,17.41
Italy,ITA,2003,16.37
Italy,ITA,2004,18.34
Italy,ITA,2005,16.44
Italy,ITA,2006,16.57
Italy,ITA,2007,15.59
Italy,ITA,2008,18.67
Italy,ITA,2009,24.19
Italy,ITA,2010,25.95
Italy,ITA,2011,27.8
Italy,ITA,2012,31.23
Italy,ITA,2013,39.16
Italy,ITA,2014,43.64
Italy,ITA,2015,38.93
Italy,ITA,2016,37.77
Italy,ITA,2017,35.57
Italy,ITA,2018,40.0
Italy,ITA,2019,39.94
Italy,ITA,2020,42.23
Italy,ITA,2021,40.75
Italy,ITA,2022,35.86
Italy,ITA,2023,44.54
Italy,ITA,2024,50.16
Kosovo,XKX,2000,1.69
Kosovo,XKX,2001,1.34
Kosovo,XKX,2002,1.35
Kosovo,XKX,2003,1.38
Kosovo,XKX,2004,2.7
Kosovo,XKX,2005,2.47
Kosovo,XKX,2006,2.26
Kosovo,XKX,2007,1.86
Kosovo,XKX,2008,1.55
Kosovo,XKX,2009,2.41
Kosovo,XKX,2010,3.09
Kosovo,XKX,2011,1.72
Kosovo,XKX,2012,1.68
Kosovo,XKX,2013,2.15
Kosovo,XKX,2014,2.76
Kosovo,XKX,2015,2.29
Kosovo,XKX,2016,4.18
Kosovo,XKX,2017,3.04
Kosovo,XKX,2018,5.08
Kosovo,XKX,2019,4.88
Kosovo,XKX,2020,5.37
Kosovo,XKX,2021,6.51
Kosovo,XKX,2022,6.51
Kosovo,XKX,2023,8.88
Kosovo,XKX,2024,4.92
Latvia,LVA,1990,67.67
Latvia,LVA,1991,58.05
Latvia,LVA,1992,65.63
Latvia,LVA,1993,73.28
Latvia,LVA,1994,74.55
Latvia,LVA,1995,73.68
Latvia,LVA,1996,59.62
Latvia,LVA,1997,65.41
Latvia,LVA,1998,74.48
Latvia,LVA,1999,67.15
Latvia,LVA,2000,68.12
Latvia,LVA,2001,66.28
Latvia,LVA,2002,62.47
Latvia,LVA,2003,58.94
Latvia,LVA,2004,68.23
Latvia,LVA,2005,69.51
Latvia,LVA,2006,57.06
Latvia,LVA,2007,59.24
Latvia,LVA,2008,60.91
Latvia,LVA,2009,63.91
Latvia,LVA,2010,54.9
Latvia,LVA,2011,50.57
Latvia,LVA,2012,66.61
Latvia,LVA,2013,56.94
Latvia,LVA,2014,54.47
Latvia,LVA,2015,50.18
Latvia,LVA,2016,54.21
Latvia,LVA,2017,72.51
Latvia,LVA,2018,51.93
Latvia,LVA,2019,49.53
Latvia,LVA,2020,63.64
Latvia,LVA,2021,63.59
Latvia,LVA,2022,75.94
Latvia,LVA,2023,77.71
Latvia,LVA,2024,73.42
Lithuania,LTU,1990,61.41
Lithuania,LTU,1991,59.04
Lithuania,LTU,1992,80.59
Lithuania,LTU,1993,90.81
Lithuania,LTU,1994,83.61
Lithuania,LTU,1995,90.16
Lithuania,LTU,1996,87.87
Lithuania,LTU,1997,85.62
Lithuania,LTU,1998,81.46
Lithuania,LTU,1999,78.52
Lithuania,LTU,2000,78.71
Lithuania,LTU,2001,81.41
Lithuania,LTU,2002,83.81
Lithuania,LTU,2003,84.01
Lithuania,LTU,2004,82.83
Lithuania,LTU,2005,74.9
Lithuania,LTU,2006,75.23
Lithuania,LTU,2007,77.34
Lithuania,LTU,2008,78.69
Lithuania,LTU,2009,78.76
Lithuania,LTU,2010,18.2
Lithuania,LTU,2011,26.12
Lithuania,LTU,2012,26.22
Lithuania,LTU,2013,36.52
Lithuania,LTU,2014,40.92
Lithuania,LTU,2015,39.72
Lithuania,LTU,2016,57.85
Lithuania,LTU,2017,71.07
Lithuania,LTU,2018,75.34
Lithuania,LTU,2019,73.95
Lithuania,LTU,2020,54.68
Lithuania,LTU,2021,60.93
Lithuania,LTU,2022,74.75
Lithuania,LTU,2023,83.49
Lithuania,LTU,2024,84.11
Luxembourg,LUX,1990,12.9
Luxembourg,LUX,1991,12.86
Luxembourg,LUX,1992,12.12
Luxembourg,LUX,1993,11.94
Luxembourg,LUX,1994,18.64
Luxembourg,LUX,1995,22.45
Luxembourg,LUX,1996,17.78
Luxembourg,LUX,1997,24.39
Luxembourg,LUX,1998,40.54
Luxembourg,LUX,1999,36.11
Luxembourg,LUX,2000,40.0
Luxembourg,LUX,2001,19.54
Luxembourg,LUX,2002,5.36
Luxembourg,LUX,2003,5.02
Luxembourg,LUX,2004,5.64
Luxembourg,LUX,2005,6.27
Luxembourg,LUX,2006,7.06
Luxembourg,LUX,2007,8.15
Luxembourg,LUX,2008,10.29
Luxembourg,LUX,2009,8.57
Luxembourg,LUX,2010,8.33
Luxembourg,LUX,2011,9.09
Luxembourg,LUX,2012,11.23
Luxembourg,LUX,2013,19.57
Luxembourg,LUX,2014,20.94
Luxembourg,LUX,2015,32.09
Luxembourg,LUX,2016,58.23
Luxembourg,LUX,2017,66.67
Luxembourg,LUX,2018,70.83
Luxembourg,LUX,2019,74.77
Luxembourg,LUX,2020,79.51
Luxembourg,LUX,2021,80.49
Luxembourg,LUX,2022,85.95
Luxembourg,LUX,2023,89.29
Luxembourg,LUX,2024,90.67
Malta,MLT,1990,0.0
Malta,MLT,1991,0.0
Malta,MLT,1992,0.0
Malta,MLT,1993,0.0
Malta,MLT,1994,0.0
Malta,MLT,1995,0.0
Malta,MLT,1996,0.0
Malta,MLT,1997,0.0
Malta,MLT,1998,0.0
Malta,MLT,1999,0.0
Malta,MLT,2000,0.0
Malta,MLT,2001,0.0
Malta,MLT,2002,0.0
Malta,MLT,2003,0.0
Malta,MLT,2004,0.0
Malta,MLT,2005,0.0
Malta,MLT,2006,0.0
Malta,MLT,2007,0.0
Malta,MLT,2008,0.0
Malta,MLT,2009,0.0
Malta,MLT,2010,0.0
Malta,MLT,2011,0.0
Malta,MLT,2012,1.3
Malta,MLT,2013,1.77
Malta,MLT,2014,3.56
Malta,MLT,2015,7.69
Malta,MLT,2016,16.28
Malta,MLT,2017,10.3
Malta,MLT,2018,10.15
Malta,MLT,2019,10.14
Malta,MLT,2020,11.63
Malta,MLT,2021,12.16
Malta,MLT,2022,13.04
Malta,MLT,2023,13.62
Malta,MLT,2024,15.53
Montenegro,MNE,2005,65.16
Montenegro,MNE,2006,59.32
Montenegro,MNE,2007,59.81
Montenegro,MNE,2008,54.42
Montenegro,MNE,2009,75.0
Montenegro,MNE,2010,68.41
Montenegro,MNE,2011,45.28
Montenegro,MNE,2012,51.93
Montenegro,MNE,2013,63.45
Montenegro,MNE,2014,55.21
Montenegro,MNE,2015,49.67
Montenegro,MNE,2016,58.6
Montenegro,MNE,2017,45.16
Montenegro,MNE,2018,59.21
Montenegro,MNE,2019,56.27
Montenegro,MNE,2020,52.21
Montenegro,MNE,2021,61.8
Montenegro,MNE,2022,53.17
Montenegro,MNE,2023,61.14
Montenegro,MNE,2024,60.27
Netherlands,NLD,1990,6.11
Netherlands,NLD,1991,5.82
Netherlands,NLD,1992,6.33
Netherlands,NLD,1993,6.66
Netherlands,NLD,1994,6.68
Netherlands,NLD,1995,6.81
Netherlands,NLD,1996,7.11
Netherlands,NLD,1997,5.19
Netherlands,NLD,1998,6.86
Netherlands,NLD,1999,7.44
Netherlands,NLD,2000,7.84
Netherlands,NLD,2001,7.91
Netherlands,NLD,2002,8.34
Netherlands,NLD,2003,8.36
Netherlands,NLD,2004,9.14
Netherlands,NLD,2005,11.63
Netherlands,NLD,2006,11.82
Netherlands,NLD,2007,11.37
Netherlands,NLD,2008,12.9
Netherlands,NLD,2009,13.42
Netherlands,NLD,2010,12.84
Netherlands,NLD,2011,14.61
Netherlands,NLD,2012,16.02
Netherlands,NLD,2013,14.91
Netherlands,NLD,2014,15.42
Netherlands,NLD,2015,16.3
Netherlands,NLD,2016,16.44
Netherlands,NLD,2017,17.95
Netherlands,NLD,2018,19.8
Netherlands,NLD,2019,22.25
Netherlands,NLD,2020,30.19
Netherlands,NLD,2021,36.57
Netherlands,NLD,2022,43.48
Netherlands,NLD,2023,50.78
Netherlands,NLD,2024,53.73
North Macedonia,MKD,1990,8.52
North Macedonia,MKD,1991,14.73
North Macedonia,MKD,1992,14.0
North Macedonia,MKD,1993,10.04
North Macedonia,MKD,1994,11.62
North Macedonia,MKD,1995,13.05
North Macedonia,MKD,1996,12.8
North Macedonia,MKD,1997,13.37
North Macedonia,MKD,1998,15.32
North Macedonia,MKD,1999,20.26
North Macedonia,MKD,2000,17.18
North Macedonia,MKD,2001,9.89
North Macedonia,MKD,2002,12.48
North Macedonia,MKD,2003,20.36
North Macedonia,MKD,2004,22.22
North Macedonia,MKD,2005,21.47
North Macedonia,MKD,2006,23.54
North Macedonia,MKD,2007,15.54
North Macedonia,MKD,2008,13.31
North Macedonia,MKD,2009,18.62
North Macedonia,MKD,2010,33.47
North Macedonia,MKD,2011,21.15
North Macedonia,MKD,2012,16.61
North Macedonia,MKD,2013,26.11
North Macedonia,MKD,2014,23.98
North Macedonia,MKD,2015,35.93
North Macedonia,MKD,2016,36.77
North Macedonia,MKD,2017,23.04
North Macedonia,MKD,2018,34.94
North Macedonia,MKD,2019,22.83
North Macedonia,MKD,2020,27.72
North Macedonia,MKD,2021,29.84
North Macedonia,MKD,2022,27.1
North Macedonia,MKD,2023,32.27
North Macedonia,MKD,2024,33.1
Norway,NOR,1990,99.79
Norway,NOR,1991,99.8
Norway,NOR,1992,99.82
Norway,NOR,1993,99.8
Norway,NOR,1994,99.64
Norway,NOR,1995,99.66
Norway,NOR,1996,99.5
Norway,NOR,1997,99.57
Norway,NOR,1998,99.62
Norway,NOR,1999,99.56
Norway,NOR,2000,99.71
Norway,NOR,2001,99.52
Norway,NOR,2002,99.59
Norway,NOR,2003,99.4
Norway,NOR,2004,99.36
Norway,NOR,2005,99.47
Norway,NOR,2006,99.32
Norway,NOR,2007,99.14
Norway,NOR,2008,99.41
Norway,NOR,2009,96.57
Norway,NOR,2010,95.79
Norway,NOR,2011,96.81
Norway,NOR,2012,98.23
Norway,NOR,2013,97.96
Norway,NOR,2014,97.91
Norway,NOR,2015,97.95
Norway,NOR,2016,98.05
Norway,NOR,2017,98.12
Norway,NOR,2018,98.02
Norway,NOR,2019,97.94
Norway,NOR,2020,98.52
Norway,NOR,2021,99.32
Norway,NOR,2022,98.65
